Freq,R
3.80189396320561e+001,-2.79668623578626e-001,-1.66358737768218e+002
3.89045144994280e+001,-2.68299102702337e-001,-1.66053262721785e+002
3.98107170553497e+001,-2.56425568721150e-001,-1.65741507546125e+002
4.07380277804112e+001,-2.44027147423717e-001,-1.65423380814991e+002
4.16869383470335e+001,-2.31082232232463e-001,-1.65098792345794e+002
4.26579518801592e+001,-2.17568470380265e-001,-1.64767653410103e+002
4.36515832240165e+001,-2.03462749967735e-001,-1.64429876955904e+002
4.46683592150962e+001,-1.88741188033109e-001,-1.64085377841817e+002
4.57088189614874e+001,-1.73379119775189e-001,-1.63734073083410e+002
4.67735141287197e+001,-1.57351089078197e-001,-1.63375882111725e+002
4.78630092322638e+001,-1.40630840495666e-001,-1.63010727044029e+002
4.89778819368445e+001,-1.23191312858701e-001,-1.62638532966780e+002
5.01187233627271e+001,-1.05004634681630e-001,-1.62259228230693e+002
5.12861383991364e+001,-8.60421215454974e-002,-1.61872744757720e+002
5.24807460249772e+001,-6.62742756465355e-002,-1.61479018359673e+002
5.37031796370252e+001,-4.56707877029009e-002,-1.61077989068104e+002
5.49540873857624e+001,-2.42005414180693e-002,-1.60669601474965e+002
5.62341325190348e+001,-1.83162070335975e-003,-1.60253805083434e+002
5.75439937337156e+001,2.14686801349916e-002,-1.59830554668197e+002
5.88843655355588e+001,4.57338430374342e-002,-1.59399810644307e+002
6.02559586074357e+001,7.09981094548526e-002,-1.58961539443634e+002
6.16595001861481e+001,9.72964600299255e-002,-1.58515713897744e+002
6.30957344480192e+001,1.24664590495757e-001,-1.58062313625904e+002
6.45654229034654e+001,1.53138883597920e-001,-1.57601325426761e+002
6.60693448007595e+001,1.82756376854830e-001,-1.57132743672045e+002
6.76082975391980e+001,2.13554725983134e-001,-1.56656570700513e+002
6.91830970918935e+001,2.45572163829172e-001,-1.56172817210167e+002
7.07945784384136e+001,2.78847454665213e-001,-1.55681502646613e+002
7.24435960074988e+001,3.13419843729844e-001,-1.55182655585267e+002
7.41310241300916e+001,3.49329001916020e-001,-1.54676314104947e+002
7.58577575029182e+001,3.86614965537692e-001,-1.54162526150252e+002
7.76247116628690e+001,4.25318071136877e-001,-1.53641349879988e+002
7.94328234724279e+001,4.65478885327340e-001,-1.53112853998751e+002
8.12830516164097e+001,5.07138129708603e-001,-1.52577118068711e+002
8.31763771102669e+001,5.50336600925033e-001,-1.52034232798518e+002
8.51138038202374e+001,5.95115085988441e-001,-1.51484300306192e+002
8.70963589956078e+001,6.41514273029139e-001,-1.50927434352850e+002
8.91250938133743e+001,6.89574657689498e-001,-1.50363760544072e+002
9.12010839355907e+001,7.39336445424577e-001,-1.49793416495769e+002
9.33254300796988e+001,7.90839450026685e-001,-1.49216551961470e+002
