x-axis,IN,OUT
second,Volt,Volt
-6.72000E-03,+7.35156250E+00,-8.02929687E+00
-6.70000E-03,+7.39062500E+00,-8.07812500E+00
-6.68000E-03,+7.42968750E+00,-8.10742187E+00
-6.66000E-03,+7.47851562E+00,-8.14648437E+00
-6.64000E-03,+7.51757812E+00,-8.18554687E+00
-6.62000E-03,+7.54687500E+00,-8.22460937E+00
-6.60000E-03,+7.57617187E+00,-8.26367187E+00
-6.58000E-03,+7.61523437E+00,-8.29296875E+00
-6.56000E-03,+7.65429687E+00,-8.33203125E+00
-6.54000E-03,+7.68359375E+00,-8.37109375E+00
-6.52000E-03,+7.73242187E+00,-8.40039062E+00
-6.50000E-03,+7.77148437E+00,-8.43945312E+00
-6.48000E-03,+7.81054687E+00,-8.47851562E+00
-6.46000E-03,+7.84960937E+00,-8.51757812E+00
-6.44000E-03,+7.88867187E+00,-8.54687500E+00
-6.42000E-03,+7.91796875E+00,-8.58593750E+00
-6.40000E-03,+7.95703125E+00,-8.62500000E+00
-6.38000E-03,+7.99609375E+00,-8.66406250E+00
-6.36000E-03,+8.03515625E+00,-8.70312500E+00
-6.34000E-03,+8.07421875E+00,-8.74218750E+00
-6.32000E-03,+8.11328125E+00,-8.77148437E+00
-6.30000E-03,+8.15234375E+00,-8.81054687E+00
-6.28000E-03,+8.19140625E+00,-8.84960937E+00
-6.26000E-03,+8.23046875E+00,-8.88867187E+00
-6.24000E-03,+8.26953125E+00,-8.92773437E+00
-6.22000E-03,+8.30859375E+00,-8.96679687E+00
-6.20000E-03,+8.34765625E+00,-9.00585937E+00
-6.18000E-03,+8.38671875E+00,-9.04492187E+00
-6.16000E-03,+8.42578125E+00,-9.08398437E+00
-6.14000E-03,+8.46484375E+00,-9.11328125E+00
-6.12000E-03,+8.50390625E+00,-9.16210937E+00
-6.10000E-03,+8.53320312E+00,-9.19140625E+00
-6.08000E-03,+8.57226562E+00,-9.23046875E+00
-6.06000E-03,+8.61132812E+00,-9.25976562E+00
-6.04000E-03,+8.65039062E+00,-9.29882812E+00
-6.02000E-03,+8.68945312E+00,-9.33789062E+00
-6.00000E-03,+8.72851562E+00,-9.37695312E+00
-5.98000E-03,+8.75781250E+00,-9.41601562E+00
-5.96000E-03,+8.79687500E+00,-9.44531250E+00
-5.94000E-03,+8.83593750E+00,-9.49414062E+00
-5.92000E-03,+8.87500000E+00,-9.53320312E+00
-5.90000E-03,+8.91406250E+00,-9.57226562E+00
-5.88000E-03,+8.59179688E+00,-9.62109375E+00
-5.86000E-03,-6.77929687E+00,-6.99414063E+00
-5.84000E-03,-10.09960937E+00,-861.32813E-03
-5.82000E-03,-9.99218750E+00,+6.44335937E+00
-5.80000E-03,-9.92382813E+00,+9.30468750E+00
-5.78000E-03,-9.88476563E+00,+9.30468750E+00
-5.76000E-03,-9.83593750E+00,+9.26562500E+00
-5.74000E-03,-9.79687500E+00,+9.22656250E+00
-5.72000E-03,-9.75781250E+00,+9.19726563E+00
-5.70000E-03,-9.71875000E+00,+9.15820313E+00
-5.68000E-03,-9.66992188E+00,+9.11914063E+00
-5.66000E-03,-9.63085938E+00,+9.08007813E+00
-5.64000E-03,-9.60156250E+00,+9.04101563E+00
-5.62000E-03,-9.56250000E+00,+9.00195313E+00
-5.60000E-03,-9.52343750E+00,+8.96289063E+00
-5.58000E-03,-9.48437500E+00,+8.91406250E+00
-5.56000E-03,-9.43554688E+00,+8.87500000E+00
-5.54000E-03,-9.39648438E+00,+8.83593750E+00
-5.52000E-03,-9.36718750E+00,+8.79687500E+00
-5.50000E-03,-9.32812500E+00,+8.76757813E+00
-5.48000E-03,-9.28906250E+00,+8.72851563E+00
-5.46000E-03,-9.25976563E+00,+8.67968750E+00
-5.44000E-03,-9.22070313E+00,+8.65039063E+00
-5.42000E-03,-9.17187500E+00,+8.61132813E+00
-5.40000E-03,-9.14257813E+00,+8.57226563E+00
-5.38000E-03,-9.10351563E+00,+8.53320313E+00
-5.36000E-03,-9.05468750E+00,+8.49414063E+00
-5.34000E-03,-9.01562500E+00,+8.45507813E+00
-5.32000E-03,-8.98632813E+00,+8.41601563E+00
-5.30000E-03,-8.94726563E+00,+8.38671875E+00
-5.28000E-03,-8.91796875E+00,+8.34765625E+00
-5.26000E-03,-8.86914063E+00,+8.30859375E+00
-5.24000E-03,-8.83007813E+00,+8.27929688E+00
-5.22000E-03,-8.80078125E+00,+8.23046875E+00
-5.20000E-03,-8.76171875E+00,+8.20117188E+00
-5.18000E-03,-8.72265625E+00,+8.15234375E+00
-5.16000E-03,-8.68359375E+00,+8.11328125E+00
-5.14000E-03,-8.64453125E+00,+8.07421875E+00
-5.12000E-03,-8.60546875E+00,+8.03515625E+00
-5.10000E-03,-8.57617188E+00,+7.99609375E+00
-5.08000E-03,-8.53710938E+00,+7.95703125E+00
-5.06000E-03,-8.49804688E+00,+7.91796875E+00
-5.04000E-03,-8.45898438E+00,+7.86914063E+00
-5.02000E-03,-8.41992188E+00,+7.83007813E+00
-5.00000E-03,-8.39062500E+00,+7.80078125E+00
-4.98000E-03,-8.35156250E+00,+7.76171875E+00
-4.96000E-03,-8.31250000E+00,+7.72265625E+00
-4.94000E-03,-8.28320313E+00,+7.68359375E+00
-4.92000E-03,-8.25390625E+00,+7.64453125E+00
-4.90000E-03,-8.22460938E+00,+7.61523438E+00
-4.88000E-03,-8.18554688E+00,+7.57617188E+00
-4.86000E-03,-8.14648438E+00,+7.54687500E+00
-4.84000E-03,-8.09765625E+00,+7.50781250E+00
-4.82000E-03,-8.06835938E+00,+7.46875000E+00
-4.80000E-03,-8.02929688E+00,+7.42968750E+00
-4.78000E-03,-7.99023438E+00,+7.40039063E+00
-4.76000E-03,-7.95117188E+00,+7.36132813E+00
-4.74000E-03,-7.91210938E+00,+7.32226563E+00
-4.72000E-03,-7.87304688E+00,+7.28320313E+00
-4.70000E-03,-7.83398438E+00,+7.25390625E+00
-4.68000E-03,-7.79492188E+00,+7.21484375E+00
-4.66000E-03,-7.75585938E+00,+7.17578125E+00
-4.64000E-03,-7.71679688E+00,+7.14648438E+00
-4.62000E-03,-7.68750000E+00,+7.10742188E+00
-4.60000E-03,-7.64843750E+00,+7.06835938E+00
-4.58000E-03,-7.60937500E+00,+7.02929688E+00
-4.56000E-03,-7.57031250E+00,+7.00000000E+00
-4.54000E-03,-7.53125000E+00,+6.95117188E+00
-4.52000E-03,-7.49218750E+00,+6.91210938E+00
-4.50000E-03,-7.45312500E+00,+6.87304688E+00
-4.48000E-03,-7.41406250E+00,+6.83398438E+00
-4.46000E-03,-7.38476563E+00,+6.79492188E+00
-4.44000E-03,-7.34570313E+00,+6.75585938E+00
-4.42000E-03,-7.29687500E+00,+6.71679688E+00
-4.40000E-03,-7.25781250E+00,+6.67773438E+00
-4.38000E-03,-7.22851563E+00,+6.64843750E+00
-4.36000E-03,-7.17968750E+00,+6.61914063E+00
-4.34000E-03,-7.14062500E+00,+6.58007813E+00
-4.32000E-03,-7.10156250E+00,+6.53125000E+00
-4.30000E-03,-7.06250000E+00,+6.49218750E+00
-4.28000E-03,-7.03320313E+00,+6.46289063E+00
-4.26000E-03,-6.98437500E+00,+6.42382813E+00
-4.24000E-03,-6.94531250E+00,+6.38476563E+00
-4.22000E-03,-6.90625000E+00,+6.34570313E+00
-4.20000E-03,-6.86718750E+00,+6.30664063E+00
-4.18000E-03,-6.83789063E+00,+6.26757813E+00
-4.16000E-03,-6.79882813E+00,+6.22851563E+00
-4.14000E-03,-6.75976563E+00,+6.18945313E+00
-4.12000E-03,-6.72070313E+00,+6.16015625E+00
-4.10000E-03,-6.68164063E+00,+6.12109375E+00
-4.08000E-03,-6.64257813E+00,+6.08203125E+00
-4.06000E-03,-6.61328125E+00,+6.04296875E+00
-4.04000E-03,-6.57421875E+00,+6.00390625E+00
-4.02000E-03,-6.54492188E+00,+5.95507813E+00
-4.00000E-03,-6.50585938E+00,+5.91601563E+00
-3.98000E-03,-6.46679688E+00,+5.87695313E+00
-3.96000E-03,-6.42773438E+00,+5.83789063E+00
-3.94000E-03,-6.38867188E+00,+5.80859375E+00
-3.92000E-03,-6.33984375E+00,+5.76953125E+00
-3.90000E-03,-6.30078125E+00,+5.73046875E+00
-3.88000E-03,-6.26171875E+00,+5.70117188E+00
-3.86000E-03,-6.22265625E+00,+5.66210938E+00
-3.84000E-03,-6.19335938E+00,+5.62304688E+00
-3.82000E-03,-6.15429688E+00,+5.58398438E+00
-3.80000E-03,-6.11523438E+00,+5.53515625E+00
