x-axis,IN,OUT
second,Volt,Volt
-4.14000E-03,-6.85742188E+00,+13.14257813E+00
-4.12000E-03,-6.81835938E+00,+13.14257813E+00
-4.10000E-03,-6.77929688E+00,+13.14257813E+00
-4.08000E-03,-6.74023438E+00,+13.14257813E+00
-4.06000E-03,-6.71093750E+00,+13.14257813E+00
-4.04000E-03,-6.66210938E+00,+13.14257813E+00
-4.02000E-03,-6.62304688E+00,+13.14257813E+00
-4.00000E-03,-6.59375000E+00,+13.14257813E+00
-3.98000E-03,-6.55468750E+00,+13.14257813E+00
-3.96000E-03,-6.51562500E+00,+13.14257813E+00
-3.94000E-03,-6.47656250E+00,+13.14257813E+00
-3.92000E-03,-6.43750000E+00,+13.14257813E+00
-3.90000E-03,-6.39843750E+00,+13.14257813E+00
-3.88000E-03,-6.35937500E+00,+13.14257813E+00
-3.86000E-03,-6.32031250E+00,+13.14257813E+00
-3.84000E-03,-6.27148438E+00,+13.14257813E+00
-3.82000E-03,-6.23242188E+00,+13.14257813E+00
-3.80000E-03,-6.20312500E+00,+13.14257813E+00
-3.78000E-03,-6.16406250E+00,+13.14257813E+00
-3.76000E-03,-6.12500000E+00,+13.14257813E+00
-3.74000E-03,-6.08593750E+00,+13.14257813E+00
-3.72000E-03,-6.04687500E+00,+13.14257813E+00
-3.70000E-03,-5.99804688E+00,+13.14257813E+00
-3.68000E-03,-5.95898438E+00,+13.14257813E+00
-3.66000E-03,-5.91992188E+00,+13.14257813E+00
-3.64000E-03,-5.88085938E+00,+13.14257813E+00
-3.62000E-03,-5.84179688E+00,+13.14257813E+00
-3.60000E-03,-5.80273438E+00,+13.14257813E+00
-3.58000E-03,-5.76367188E+00,+13.14257813E+00
-3.56000E-03,-5.72460938E+00,+13.14257813E+00
-3.54000E-03,-5.67578125E+00,+13.14257813E+00
-3.52000E-03,-5.63671875E+00,+13.14257813E+00
-3.50000E-03,-5.59765625E+00,+13.15234375E+00
-3.48000E-03,-5.55859375E+00,+13.15234375E+00
-3.46000E-03,-5.51953125E+00,+13.14257813E+00
-3.44000E-03,-5.48046875E+00,+13.14257813E+00
-3.42000E-03,-5.44140625E+00,+13.14257813E+00
-3.40000E-03,-5.40234375E+00,+13.14257813E+00
-3.38000E-03,-5.36328125E+00,+13.14257813E+00
-3.36000E-03,-5.31445313E+00,+13.15234375E+00
-3.34000E-03,-5.27539063E+00,+13.14257813E+00
